true_value,predicted_value
65.012,11.3
71.573,11.0
76.593,10.71
74.025,10.42
75.657,10.13
80.94,9.84
80.361,9.55
73.988,9.36
87.003,9.18
91.604,9.0
88.485,8.81
62.724,8.63
50.498,8.45
55.708,8.28
51.073,8.1
60.691,7.94
40.934,7.78
37.409,7.62
54.239,7.48
62.906,7.33
60.056,7.2
66.087,7.07
56.274,6.94
44.941,6.82
30.878,6.71
34.001,6.61
37.059,6.51
39.126,6.41
32.874,6.32
36.051,6.24
38.579,6.17
30.298,6.1
35.763,6.04
26.61,5.98
2.865,5.93
6.857,5.89
69.426,5.86
71.558,5.83
76.348,5.8
71.131,5.77
73.445,5.74
73.242,5.71
78.977,5.68
80.913,5.66
77.725,5.63
72.18,5.61
68.161,5.58
56.635,5.56
63.491,5.54
60.135,5.52
63.283,5.5
59.293,5.48
65.037,5.46
65.086,5.44
54.306,5.43
58.088,5.41
63.135,5.4
70.833,5.38
74.041,5.37
76.589,5.36
75.052,5.34
76.414,5.33
72.485,5.32
74.891,5.31
74.031,5.3
83.332,5.29
82.085,5.27
88.016,5.25
88.848,5.23
82.806,5.21
83.025,5.19
83.909,5.16
86.931,5.13
82.703,5.1
79.78,5.07
82.991,5.03
75.074,4.99
70.021,4.95
76.051,4.91
73.969,4.86
67.284,4.81
63.277,4.76
65.172,4.71
69.56,4.65
70.417,4.59
68.994,4.53
69.644,4.46
73.735,4.39
73.921,4.33
72.35,4.27
74.087,4.22
77.053,4.17
68.908,4.12
69.479,4.07
76.877,4.02
77.068,3.98
77.765,3.94
76.754,3.9
77.633,3.87
74.699,3.83
74.866,3.8
73.762,3.77
66.211,3.74
62.809,3.71
63.878,3.68
71.232,3.65
55.796,3.63
56.11,3.61
56.629,3.58
59.053,3.56
54.752,3.54
52.732,3.53
49.511,3.51
39.232,3.5
30.336,3.49
30.929,3.48
27.093,3.47
21.05,3.47
18.898,3.47
16.857,3.47
13.616,3.47
8.185,3.47
7.887,3.48
6.943,3.49
2.308,3.51
3.575,3.52
6.513,3.54
10.264,3.56
11.746,3.59
18.781,3.62
24.199,3.65
22.16,3.69
22.843,3.73
25.993,3.77
31.6,3.82
34.805,3.86
35.443,3.91
