timestamp,actual_power,temperature,humidity,pressure,ws_10,ws_30,ws_50,ws_70,ws_hub
2024-11-26 00:00:00,25.7872,6.25,40.47,1060.94,4.88,5.05,4.86,5.09,5.09
2024-11-26 00:15:00,24.7825,6.099999999999999,43.443333333333335,1048.6766666666665,5.0200000000000005,5.056666666666667,5.136666666666667,5.25,5.25
2024-11-26 00:30:00,27.4282,5.95,44.82666666666666,1039.7866666666666,5.026666666666666,5.12,5.239999999999999,5.403333333333333,5.403333333333333
2024-11-26 00:45:00,22.3377,5.82,45.169999999999995,1024.78,5.05,5.1000000000000005,5.116666666666666,5.323333333333333,5.323333333333333
2024-11-26 01:00:00,17.4482,5.703333333333333,45.96,1037.3700000000001,4.923333333333333,4.993333333333333,4.996666666666667,5.19,5.19
2024-11-26 01:15:00,19.0222,5.673333333333333,45.38666666666666,1039.4633333333334,4.766666666666667,4.84,4.796666666666667,4.98,4.98
2024-11-26 01:30:00,20.9646,5.596666666666667,45.85,1040.61,4.8566666666666665,4.953333333333333,5.033333333333334,5.013333333333333,5.013333333333333
2024-11-26 01:45:00,17.2808,5.523333333333333,46.45666666666667,1035.14,4.86,4.91,4.93,5.053333333333334,5.053333333333334
2024-11-26 02:00:00,17.0463,5.3999999999999995,46.276666666666664,1045.6133333333335,4.69,4.706666666666667,4.77,4.913333333333333,4.913333333333333
2024-11-26 02:15:00,18.9553,5.236666666666667,46.31666666666666,1044.9766666666667,4.739999999999999,4.826666666666667,4.84,4.94,4.94
2024-11-26 02:30:00,25.6867,5.113333333333333,45.846666666666664,1033.27,5.136666666666667,5.093333333333334,5.1866666666666665,5.316666666666666,5.316666666666666
2024-11-26 02:45:00,23.108,5.0,46.13999999999999,1034.92,5.546666666666667,5.526666666666666,5.613333333333333,5.756666666666667,5.756666666666667
2024-11-26 03:00:00,22.1368,4.933333333333334,46.370000000000005,1039.3233333333333,5.346666666666667,5.456666666666666,5.463333333333334,5.673333333333333,5.673333333333333
2024-11-26 03:15:00,18.6538,4.8133333333333335,46.64000000000001,1024.0666666666666,5.216666666666667,5.406666666666666,5.343333333333334,5.513333333333333,5.513333333333333
2024-11-26 03:30:00,15.7067,4.71,46.48333333333333,1040.04,4.836666666666667,4.976666666666667,4.92,5.113333333333333,5.113333333333333
2024-11-26 03:45:00,11.3531,4.52,46.43333333333334,1048.51,4.5633333333333335,4.513333333333333,4.626666666666666,4.68,4.68
2024-11-26 04:00:00,5.82723,4.3966666666666665,46.76666666666667,1037.82,3.996666666666666,4.026666666666666,4.010000000000001,4.126666666666666,4.126666666666666
2024-11-26 04:15:00,2.57872,4.296666666666667,47.02333333333333,1053.92,3.3733333333333335,3.42,3.4299999999999997,3.513333333333333,3.513333333333333
2024-11-26 04:30:00,2.24382,4.2299999999999995,46.80666666666667,1023.5833333333334,2.8666666666666667,2.86,2.9,2.98,2.98
2024-11-26 04:45:00,1.70798,4.1000000000000005,46.52333333333333,1032.7266666666667,2.6733333333333333,2.6966666666666668,2.69,2.78,2.78
2024-11-26 05:00:00,1.74147,3.97,45.73666666666667,1040.5566666666666,2.59,2.64,2.6300000000000003,2.6999999999999997,2.6999999999999997
2024-11-26 05:15:00,1.87543,3.89,46.620000000000005,1034.8799999999999,2.466666666666667,2.5166666666666666,2.513333333333333,2.6133333333333333,2.6133333333333333
2024-11-26 05:45:00,1.40657,3.706666666666667,45.57666666666666,1039.0566666666666,2.2466666666666666,2.2566666666666664,2.28,2.3233333333333333,2.3233333333333333
2024-11-26 06:00:00,4.65509,3.65,45.343333333333334,1054.9733333333334,2.8966666666666665,2.94,2.9599999999999995,3.046666666666667,3.046666666666667
2024-11-26 06:15:00,9.47763,3.5700000000000003,45.163333333333334,1034.7366666666667,3.393333333333333,3.4033333333333338,3.473333333333333,3.5366666666666666,3.5366666666666666
2024-11-26 06:30:00,17.5487,3.4600000000000004,44.51333333333333,1040.6499999999999,4.05,4.133333333333334,4.156666666666666,4.296666666666667,4.296666666666667
2024-11-26 06:45:00,24.749,3.42,44.54333333333333,1035.1633333333332,4.796666666666667,4.853333333333333,4.82,4.973333333333334,4.973333333333334
2024-11-26 07:00:00,20.6967,3.3833333333333333,43.76666666666667,1031.2733333333333,5.263333333333333,5.38,5.346666666666667,5.533333333333334,5.533333333333334
2024-11-26 07:15:00,20.8642,3.3433333333333337,42.47,1042.3466666666666,5.2700000000000005,5.3,5.373333333333334,5.41,5.41
2024-11-26 07:30:00,13.262,3.4433333333333334,42.22666666666667,1035.9633333333334,4.736666666666667,4.793333333333333,4.79,4.94,4.94
2024-11-26 07:45:00,12.8601,3.453333333333333,41.39666666666667,1022.2266666666668,4.406666666666666,4.433333333333334,4.456666666666666,4.6000000000000005,4.6000000000000005
2024-11-26 08:00:00,11.554,3.5866666666666664,40.419999999999995,1033.7433333333333,4.276666666666666,4.373333333333333,4.37,4.5,4.5
2024-11-26 08:15:00,13.5299,3.6999999999999997,39.64,1028.5066666666667,4.296666666666667,4.263333333333333,4.333333333333333,4.426666666666667,4.426666666666667
2024-11-26 08:30:00,10.1139,3.9,38.43666666666667,1037.3966666666668,3.986666666666667,4.03,4.079999999999999,4.203333333333333,4.203333333333333
2024-11-26 08:45:00,9.47763,4.12,37.153333333333336,1050.9633333333334,3.9600000000000004,4.0200000000000005,4.033333333333333,4.1000000000000005,4.1000000000000005
2024-11-26 09:00:00,9.5781,4.3133333333333335,35.656666666666666,1041.6233333333332,3.8833333333333333,3.926666666666667,3.9,4.0633333333333335,4.0633333333333335
