stationid,forecast_fromtime,forecastvaluetime,forecastvalue,actualvaluetime,actualvalue,runningcapacity,filename
41,2024-11-21 00:00:00,2024-11-21 00:00:00,3.21,2024-11-20 23:59:25,-0.368388,96,DPDFDC_DQ_20241121_0000.WPD
41,2024-11-21 00:00:00,2024-11-21 00:15:00,3.14,2024-11-21 00:14:23,-0.10047,96,DPDFDC_DQ_20241121_0000.WPD
41,2024-11-21 00:00:00,2024-11-21 00:30:00,3.08,2024-11-21 00:28:58,0.334898,96,DPDFDC_DQ_20241121_0000.WPD
